policy_id,customer_id,age,gender,marital_status,number_of_dependents,annual_income_gbp,health_status,smoking_status,policy_type,sum_assured_gbp,monthly_premium_gbp,distribution_channel,policy_start_date,months_in_arrears,policy_status
POL-34E62FF4,f1-0ce3-4c1a-83f1-d56a575b9c31,30,Male,Married,2,88000,Good,Former smoker,Investment-Linked Life,580000,429.9,Direct,2002-06-23,0,Matured
POL-456CA07A,81-df3e-4173-a3df-b27378898bf6,47,Female,Divorced,3,46000,Good,Non-smoker,Term Assurance,220000,120.2,Bancassurance,2000-02-22,0,Active
POL-D8796873,34-7bb7-4ebf-b471-f715c1c9f7fe,52,Female,Single,0,62000,Excellent,Non-smoker,Term Assurance,200000,60.8,IFA,2007-09-11,0,Active
POL-7921F0A8,dc-5cc7-4c2a-a9f0-4cf936922d6e,26,Female,Married,1,72000,Fair,Former smoker,Whole of Life,150000,75.5,Bancassurance,2021-05-27,0,Active
POL-00ED76C2,8f-c4e5-4871-8a3b-d555ff95497f,26,Female,Married,0,42000,Excellent,Non-smoker,Whole of Life,350000,485.6,Bancassurance,2021-11-23,0,Active
POL-04CB891F,a7-7b02-4c89-95d7-268501fb8c1e,48,Female,Married,2,85000,Fair,Non-smoker,Whole of Life,520000,328.6,IFA,2001-12-18,0,Active
POL-0ADFF2A1,9e-ef84-4da1-9e09-93743390c92e,36,Male,Single,0,52000,Excellent,Non-smoker,Term Assurance,150000,59.6,Online,2024-04-05,3,Active
POL-C782B72E,57-f2d0-4ba1-aa11-d5645a0335d3,52,Female,Married,2,88000,Excellent,Non-smoker,Whole of Life (Flexible Premium),750000,212.6,IFA,2008-12-30,6,Lapsed
POL-05CCC08B,53-4380-4d8e-bc33-0d647eec3677,46,Male,Single,1,72000,Good,Non-smoker,Term Assurance,280000,96.4,IFA,2014-03-18,1,Active
POL-5956A2E7,7b-0f3f-4613-95e1-7cd4a47ab8c0,54,Female,Divorced,2,112000,Excellent,Non-smoker,Whole of Life (Flexible Premium),500000,120.1,Bancassurance,2002-05-25,0,Matured
POL-CC7E1359,02-1a37-4112-8ba7-e8c79b9d73f0,27,Male,Single,0,45000,Good,Non-smoker,Term Assurance,160000,71.9,IFA,2019-07-29,0,Active
POL-F19B4B14,3e-36a6-49ff-8da9-54bf78c7c1c2,33,Female,Single,0,72000,Good,Former smoker,Term Assurance,200000,90.0,Online,2014-11-05,0,Active
POL-1797D4B7,b2-d79f-4670-a145-a7f70734e70f,56,Female,Single,0,78000,Excellent,Non-smoker,Whole of Life (Flexible Premium),200000,95.3,IFA,2001-10-29,0,Matured
POL-7148215A,8f-e24e-4a40-b31a-a5c4561c5aa7,38,Female,Single,0,48000,Excellent,Non-smoker,Term Assurance,100000,55.8,Bancassurance,2012-09-26,0,Active
,69-3cf2-4390-b561-2883cb7af736,48,Male,Married,1,75000,Good,Non-smoker,Term Assurance,260000,126.6,Direct,2017-02-10,0,Active
POL-078E2B2F,2d-64c8-4fcb-8b65-afc7c1785055,30,Female,Married,3,120000,Good,Non-smoker,Whole of Life (Flexible Premium),1200000,152.4,Direct,2003-06-04,0,Active
POL-11260248,15-d182-411d-b4e0-68d548dde07c,27,Male,Married,2,98000,Excellent,Non-smoker,Whole of Life,850000,362.6,Direct,2001-12-12,2,Active
POL-E24E3F44,85-f2db-472d-afe5-4d27a7b86774,38,Female,Married,0,61000,Excellent,Non-smoker,Term Assurance,350000,106.5,Direct,2006-11-17,0,Active
POL-476024B6,9f-eecd-4b86-acf8-863396dcfcb7,42,Female,Single,0,68000,Excellent,Non-smoker,Term Assurance,150000,52.7,Direct,2012-08-16,0,Claimed
POL-7E44CB51,49-bf57-4f8c-aa36-369c5014f7c0,38,Male,Married,2,138000,Excellent,Non-smoker,Whole of Life,400000,668.8,Direct,2024-06-06,0,Active
POL-5CF4B01A,51-222e-4815-9378-0541d5b76b0a,38,Male,Married,2,88000,Excellent,Non-smoker,Term Assurance,750000,112.8,Direct,2014-10-29,0,Active
POL-5A5E4B34,2b-fcf4-44dc-a9e9-6bed4738ff8e,29,Male,Widowed,0,42000,Excellent,Non-smoker,Term Assurance,100000,56.9,IFA,2002-06-01,0,Matured
POL-D5079ACB,32-514f-4861-ad60-de99df512cea,30,Male,Single,0,52000,Excellent,Non-smoker,Term Assurance,250000,55.6,IFA,2016-09-22,0,Active
POL-D5BB9CAD,42-7570-4e7d-ae15-6dca41406972,55,Female,Married,3,148000,Fair,Non-smoker,Term Assurance,520000,153.0,IFA,2016-10-17,6,Lapsed
POL-84176963,a6-74e4-4949-b13f-a53506fa3550,65,_RARE_,Married,2,78000,Fair,Former smoker,Investment-Linked Life,400000,130.5,Direct,2021-07-18,0,Active
POL-B7EC2D85,1a-21d4-4790-b4df-fcadf5b15e61,58,Female,Married,3,42000,Good,Non-smoker,Whole of Life (Flexible Premium),700000,698.4,Direct,2010-06-16,3,Active
POL-C89A02B7,04-c3cc-4522-bd4f-79cf3eaf9176,47,Female,Divorced,0,70000,Good,Non-smoker,Term Assurance,100000,38.1,Online,2016-07-21,2,Active
POL-3C2A577E,65-1c00-4030-9bff-9d6176394909,38,Male,Married,0,88000,Good,Non-smoker,Term Assurance,200000,96.8,IFA,2008-06-17,0,Active
POL-1C1FCF70,2e-aedb-4152-a6f0-30730e9c5824,26,Male,Single,0,42000,Fair,Former smoker,Term Assurance,100000,78.3,IFA,2010-04-30,2,Active
POL-97008A4C,f2-0f1b-4649-92d4-22e41000f77f,29,Male,Married,2,52000,Good,Non-smoker,Whole of Life,500000,424.4,Direct,2000-09-22,0,Matured
POL-A7C95B3F,d2-5e1c-4aa4-b3a8-d9b06a85afbc,36,Male,Married,2,179000,Fair,Current smoker,Whole of Life (Flexible Premium),500000,268.9,Bancassurance,2017-04-07,0,Active
POL-90BC34A8,2c-6c9e-4353-b3fd-65dfba8c68fd,26,Male,Single,0,52000,Good,Non-smoker,Term Assurance,200000,32.8,Direct,2003-07-06,0,Active
POL-1474DEC4,47-b4a2-4a0a-aedc-4d83afeca2b6,40,Female,Married,1,88000,Excellent,Non-smoker,Term Assurance,200000,78.4,IFA,2024-04-30,0,Active
POL-5BEB70EB,9b-39be-48a8-86b8-4f878af06d4b,39,Female,Married,0,76000,Good,Non-smoker,Term Assurance,250000,56.6,Online,2021-08-11,0,Active
POL-1C71E472,13-07d5-4d65-ad77-2a24c09480d6,40,Female,Married,2,42000,Good,Non-smoker,Whole of Life,420000,141.1,IFA,2015-11-10,0,Active
POL-B0B0402A,5b-11c1-4274-ae71-09c39b8dc6db,45,Female,Married,2,125000,Good,Non-smoker,Whole of Life,500000,88.5,IFA,2017-05-19,1,Active
POL-41B66B90,43-aa7e-411d-a1a1-2e157fc826a1,50,Female,Married,2,120000,Excellent,Non-smoker,Whole of Life,520000,157.6,Bancassurance,2008-12-01,0,Active
POL-D0C71F8D,6a-d844-47bd-91fa-a8de7dc76708,35,Male,Married,3,42000,Good,Former smoker,Whole of Life (Flexible Premium),400000,261.1,Bancassurance,2018-12-27,0,Active
POL-BE78CCCA,17-8130-4eec-bc3b-2ad5430ed44f,63,Male,Divorced,1,76000,Fair,Former smoker,Whole of Life,100000,687.8,Bancassurance,2007-08-27,0,Active
POL-89BD391F,d5-7f10-413b-b0e2-315a864f16b5,39,Female,Single,0,56000,Good,Non-smoker,Term Assurance,150000,45.7,Direct,2004-09-03,0,Matured
POL-07C371DF,b8-7d57-4161-bfe5-4203e9816e5d,53,Male,Married,2,180000,Good,Former smoker,Whole of Life,750000,325.2,Direct,2020-12-17,1,Active
POL-05747F34,d2-1ee2-45dd-861f-ba0b46fa98bb,33,Female,Single,0,63000,Excellent,Non-smoker,Investment-Linked Life,250000,111.0,Direct,2000-12-18,0,Active
POL-C7AB199A,ec-1166-4a8a-ada5-fb8acd16bd66,45,Female,Married,3,120000,Good,Non-smoker,Whole of Life,520000,213.4,Direct,2012-02-12,9,Lapsed
POL-873096B9,b0-7cda-49ee-bc93-e8b2cf79b588,58,Female,Married,2,90000,Good,Non-smoker,Whole of Life,1200000,210.0,Direct,2022-05-03,0,Active
POL-1E69CC8A,19-7513-4aa5-a635-6fba267a8248,39,Male,Married,2,76000,Good,Former smoker,Whole of Life (Flexible Premium),400000,144.9,Online,2020-06-16,0,Active
POL-1C9DD5C4,1f-a130-46b7-b806-88130eb9c2ec,33,Female,Single,0,72000,Excellent,Non-smoker,Term Assurance,150000,52.9,Online,2024-04-18,0,Active
POL-61CCD17F,7d-10f4-438a-92d4-d40ac1502829,41,Male,Married,1,42000,Excellent,Non-smoker,Whole of Life (Flexible Premium),600000,482.3,Direct,2012-01-17,1,Active
POL-68D1EE23,94-641a-47f3-98c6-71c345739642,58,Male,Divorced,1,65000,Excellent,Non-smoker,Whole of Life,700000,326.1,Bancassurance,2006-11-26,0,Active
POL-A150AFFE,bc-d911-4768-beca-f7f768b2d69c,41,Female,Single,0,72000,Excellent,Non-smoker,Term Assurance,150000,60.8,IFA,2020-01-06,0,Active
POL-1C8C1B95,71-10e3-4c74-bf47-29225b142155,39,Male,Single,0,56000,Excellent,Non-smoker,Term Assurance,150000,61.1,Online,2011-01-26,0,Active
POL-FEE74C43,43-458a-4468-9908-c1a109244eed,26,Female,Single,0,72000,Good,Non-smoker,Term Assurance,120000,65.5,IFA,2005-09-19,0,Active
POL-BFD24DDD,ce-ba6b-4609-94d6-b840643e1d59,42,Female,Married,3,112000,Good,Non-smoker,Term Assurance,650000,267.1,Direct,2021-07-06,0,Active
POL-6B8AC513,88-353e-4f7c-8c38-8c60076fd1da,38,Female,Single,0,64000,Excellent,Non-smoker,Term Assurance,110000,58.6,Direct,2019-06-12,0,Active
POL-627DEDED,80-a280-49e0-b39c-a5de58d3cb5e,63,Female,Single,0,54000,Fair,Former smoker,Whole of Life,300000,92.4,IFA,2000-09-13,1,Matured
POL-DC2CAA7C,8e-ca85-4ed2-9a92-481c255f80c2,28,Male,Single,0,42000,Fair,Current smoker,Term Assurance,120000,61.5,Direct,2016-11-30,0,Active
POL-E1FECCA8,2b-cfcc-4297-b35f-34e6eb9d7c27,35,Male,Single,0,54000,Good,Non-smoker,Term Assurance,170000,68.0,IFA,2000-05-31,0,Matured
POL-1E3B95C5,75-3c32-42c4-9e79-3f6749d826a2,32,Male,Married,3,60000,Excellent,Non-smoker,Term Assurance,180000,570.4,Online,2004-03-26,0,Active
POL-A43037C6,33-96ca-4be1-809a-0d3c4851a3c3,53,Female,Married,3,120000,Good,Former smoker,Whole of Life,850000,312.6,IFA,2006-07-21,0,Active
POL-3E6B6FC7,a7-335a-4a10-a9e2-1918736eaa08,50,Male,Widowed,0,74000,Good,Former smoker,Term Assurance,250000,52.7,Direct,2019-02-14,0,Active
POL-E2895841,fc-7518-4ee5-a571-80b4265cf57d,54,Female,Married,2,130000,Excellent,Non-smoker,Term Assurance,500000,91.4,Online,2006-05-16,0,Active
POL-22C4467F,e0-9ddb-4ef7-bacd-a47be136c97e,26,Male,Married,3,96000,Excellent,Non-smoker,Whole of Life (Flexible Premium),600000,421.1,IFA,2000-01-08,0,Active
POL-E6FAB2B9,0b-6365-442c-aa19-f7e870e4bae6,65,Male,Married,2,142000,Excellent,Former smoker,Term Assurance,420000,346.8,Direct,2000-05-17,2,Active
POL-7D6BC426,ee-9bd6-4182-8adc-3c25b9c88174,54,Male,Married,2,85000,Good,Former smoker,Investment-Linked Life,500000,217.6,Direct,2008-11-15,0,Active
POL-3E31F2BC,ce-520b-42ef-9c75-2d31761677d1,41,Female,Single,0,78000,Excellent,Non-smoker,Term Assurance,100000,61.6,Direct,2023-09-06,0,Active
POL-6CD5B6D4,af-7cb2-49cb-aba2-72dfac1b2c7d,33,Female,Married,1,75000,Fair,Non-smoker,Term Assurance,260000,111.5,IFA,2001-11-20,0,Matured
POL-10658508,43-ec45-4bcb-a76e-5765500202f8,52,Male,Married,3,140000,Good,Former smoker,Whole of Life,1200000,560.3,Bancassurance,2003-10-12,0,Active
POL-E961525D,41-882a-4b1e-80f5-1e80550725b2,51,Female,Married,2,98000,Excellent,Non-smoker,Whole of Life,300000,143.9,IFA,2020-06-18,0,Active
POL-B53A072A,8a-e9ca-45a8-856d-fe02598de94c,58,Female,Married,1,98000,Good,Non-smoker,Term Assurance,400000,95.4,Direct,2008-10-02,0,Active
POL-821BFB7D,6a-5627-4ce9-b1d8-6cb9b57a3b35,26,Female,Single,0,52000,Excellent,Non-smoker,Term Assurance,100000,24.1,IFA,2016-09-05,0,Active
POL-C7615F61,4f-329b-4f83-9847-9e6201d3d664,47,Female,Single,0,42000,Fair,Non-smoker,Term Assurance,100000,48.1,Online,2018-12-08,0,Active
POL-F174A38F,6c-91e0-4add-9ba9-c2d24eec9e22,65,Male,Widowed,2,182000,Good,Non-smoker,Term Assurance,420000,511.8,IFA,2006-11-05,0,Active
POL-FD19A557,e7-f1e4-45f6-a16c-df475c9f8f90,34,Female,Married,3,78000,Excellent,Non-smoker,Term Assurance,260000,107.7,Online,2009-10-04,0,Active
POL-D0C5D200,08-e36d-4aeb-93cf-659afa837026,44,Male,Married,2,61000,Excellent,Former smoker,Whole of Life (Flexible Premium),750000,312.5,Online,2000-05-11,0,Active
,e4-c922-440e-a938-3a66ecaaa792,46,Male,Married,3,103000,Good,Non-smoker,Whole of Life (Flexible Premium),300000,263.9,Direct,2008-12-28,0,Active
POL-3707523F,22-3b2d-42f7-8d9c-0c43fdfe503f,46,Male,Married,2,91000,Excellent,Non-smoker,Whole of Life (Flexible Premium),350000,529.9,Bancassurance,2021-03-20,0,Active
POL-BA869F4E,af-4efb-45e6-bec4-78f3ecdb4c12,35,Male,Married,3,42000,Excellent,Non-smoker,Whole of Life (Flexible Premium),650000,700.0,Bancassurance,2005-12-05,0,Active
POL-3AD03F58,cc-31dd-4588-83ad-391a00bc76dc,26,Male,Single,0,42000,Excellent,Non-smoker,Term Assurance,120000,40.4,IFA,2022-01-27,0,Active
POL-E78F9779,1a-e97b-45c6-97ba-3fce1b24d2bb,39,Male,Married,2,69000,Fair,Non-smoker,Whole of Life (Flexible Premium),300000,287.0,Direct,2003-05-19,2,Active
POL-3BF7079A,aa-d593-4616-8b35-8b0fa7fe20c0,52,Female,Married,2,99000,Good,Current smoker,Investment-Linked Life,650000,293.8,IFA,2013-12-07,0,Active
POL-72CF1E3D,7e-1280-48b2-9d50-11a795852637,64,Female,Widowed,2,92000,Good,Non-smoker,Whole of Life,850000,52.2,Direct,2000-05-01,0,Active
POL-EA9034F4,9a-2465-435c-ab08-58df7e8653c4,38,Female,Married,3,98000,_RARE_,Former smoker,Whole of Life,350000,120.9,IFA,2016-07-18,0,Claimed
POL-21C51310,02-42d0-4814-99dd-a71b78e54c6a,41,Male,Married,2,190000,Good,Non-smoker,Whole of Life,700000,423.8,IFA,2009-06-29,0,Active
POL-44717822,6d-2d73-4aac-b242-72bb6bfb614e,34,Female,Married,1,95000,Good,Non-smoker,Whole of Life,440000,91.6,Online,2000-01-30,0,Active
POL-AD56D3E0,7e-bcba-4cea-a095-782e697b4dda,39,Female,Married,1,86000,Good,Non-smoker,Term Assurance,260000,95.9,Online,2007-06-27,0,Active
POL-3282E3DC,f1-b8da-44b9-a477-8ed4d9f01dad,45,Male,Divorced,1,66000,Good,Non-smoker,Whole of Life,820000,85.5,Direct,2020-06-17,0,Active
POL-F0BB730A,ce-dc50-425d-8430-60e6f9256dc8,65,Female,Married,2,48000,Good,Non-smoker,Term Assurance,120000,28.5,IFA,2003-07-29,2,Active
POL-34514BFC,3e-1af8-431c-aecf-40578166b47a,40,Female,Married,1,73000,Good,Non-smoker,Whole of Life,260000,305.7,Direct,2001-06-03,1,Active
POL-28A0C51E,ce-fe58-48eb-995c-2469542724ee,26,Female,Single,0,42000,Fair,Non-smoker,Term Assurance,200000,51.3,Online,2011-07-31,0,Active
POL-9CF88F23,7e-96fa-43f8-8d85-3595871d5af6,38,male,Married,2,86000,Excellent,Non-smoker,Term Assurance,400000,210.9,Online,2014-09-08,1,Active
POL-73798D03,29-28a9-4260-b935-9c794903f543,26,Female,Married,0,72000,Excellent,Non-smoker,Term Assurance,100000,91.8,Direct,2005-04-05,1,Active
POL-61D68D71,60-5c87-4eff-aa74-b2704a2943fe,32,Female,Single,0,64000,Fair,Former smoker,Term Assurance,100000,60.6,IFA,2010-03-27,0,Active
POL-B7DFD7F9,fe-f6d1-46cf-b783-a7e0044a7457,52,Male,Single,0,54000,Good,Non-smoker,Whole of Life,120000,52.7,IFA,2014-01-04,2,Active
POL-1E3010DF,3f-3a6f-405e-80d4-a246fc4d180e,48,Female,Married,2,42000,Good,Non-smoker,Term Assurance,300000,96.5,Direct,2010-07-25,0,Active
POL-D8C610FA,59-104e-42d0-88ea-8d00714bd3c4,35,Female,Married,2,78000,Excellent,Non-smoker,Whole of Life (Flexible Premium),500000,113.5,Bancassurance,2000-10-12,1,Active
POL-00B4BE68,d3-f7b6-4e30-92db-c370b018ec3d,55,Male,Married,2,125000,Excellent,Non-smoker,Whole of Life,500000,561.2,IFA,2022-12-04,2,Active
POL-A8354C20,ff-46aa-4226-9ebc-a30c81b6cae8,42,Male,Widowed,0,72000,Good,Non-smoker,Term Assurance,250000,131.0,Bancassurance,2000-06-12,0,Active
POL-AD7D11FD,0b-4fd8-4067-bc0a-93b6b14253d3,36,Female,Married,2,152000,Excellent,Non-smoker,Whole of Life,400000,307.8,IFA,2021-11-10,0,Active
POL-6747F3BF,4d-e69e-4628-a420-df63e03e9f60,35,Male,Married,2,98000,Good,Non-smoker,Whole of Life (Flexible Premium),300000,120.0,Direct,2017-02-03,0,Active
POL-296421ED,6a-cdeb-4ac9-951b-590c1cd36bd8,36,Female,Divorced,0,76000,Good,Non-smoker,Term Assurance,180000,96.4,Direct,2020-04-12,0,Active
POL-552653C7,fe-36ad-4638-bea5-58a9ae956960,26,Male,Single,0,42000,Good,Non-smoker,Term Assurance,150000,71.9,Direct,2006-03-02,1,Active
POL-46D007CD,8c-0aaa-4dc9-b8ce-67553e22b0b8,54,Female,Married,3,190000,Excellent,Non-smoker,Whole of Life,700000,327.4,Online,2008-04-13,1,Active
POL-28DB7A4B,08-1423-47cb-8d6c-5bc515645bd7,65,Female,Married,2,42000,Fair,Non-smoker,Term Assurance,300000,88.4,Online,2021-09-15,0,Active
POL-58EE4C30,de-7818-4313-bea3-10db77e34bd8,64,Male,Married,3,102000,Good,Former smoker,Whole of Life,900000,159.3,Bancassurance,2017-05-05,0,Active
POL-6244F0BA,55-29c4-4da2-bf2f-9b4fc723e5b1,62,Female,Single,0,52000,Good,Former smoker,Term Assurance,100000,63.2,Direct,2006-01-07,0,Active
POL-D6892D53,66-a5e4-4ead-8b75-c3b9f4f5430b,36,Female,Married,2,42000,Good,Non-smoker,Whole of Life (Flexible Premium),500000,141.6,Direct,2004-10-26,0,Matured
POL-6FBE50E1,70-25a8-430d-a271-56ebe5013019,39,Female,Widowed,0,57000,Excellent,Non-smoker,Term Assurance,200000,52.2,Online,2021-03-23,0,Claimed
POL-13F6DF0A,70-0a55-4ccb-adb5-73c43ee64617,27,Female,Married,0,48000,Good,Former smoker,Term Assurance,180000,61.0,Online,2018-05-08,0,Active
POL-2956B557,6b-d8b9-402a-b74c-a373385911c9,41,Female,Married,2,42000,Good,Non-smoker,Term Assurance,250000,71.8,Direct,2009-03-18,3,Active
POL-AF28C1EE,3c-5999-4275-a25d-b05fedc05d56,39,Male,Married,3,160000,Good,Non-smoker,Whole of Life (Flexible Premium),500000,180.4,IFA,2002-02-22,0,Matured
POL-0B4F7DBC,e9-be5d-4661-b10e-20545f79c307,38,Male,Married,2,98000,Fair,Current smoker,Whole of Life (Flexible Premium),800000,243.5,Direct,2022-06-09,0,Active
POL-2B92F17E,ed-54f0-4e1d-81bd-0da448bbcbf6,63,Female,Widowed,0,150000,Excellent,Former smoker,Whole of Life,120000,185.0,Bancassurance,2010-07-29,0,Active
POL-3B4D5EE5,27-4dda-4a51-a6f0-2669872ab2c5,46,Male,Divorced,0,176000,Excellent,Non-smoker,Term Assurance,200000,214.7,Bancassurance,2014-05-01,0,Active
POL-D1BEFEBA,a6-e104-43ad-b4bb-07f6e25e7039,57,Female,Married,2,42000,Good,Non-smoker,Whole of Life (Flexible Premium),700000,197.1,Direct,2010-06-17,6,Lapsed
POL-DFE50A5C,67-bd4b-4142-91bd-305b96293c4f,39,Female,Married,2,42000,Good,Non-smoker,Whole of Life (Flexible Premium),700000,114.0,IFA,2019-05-21,6,Lapsed
POL-7387666B,d1-4d45-4103-9328-b4656ecda6bf,33,Male,Married,3,73000,Excellent,Non-smoker,Investment-Linked Life,700000,212.5,IFA,2013-02-23,0,Active
POL-5448F5B5,e0-b7bb-4d16-9f71-419de6a7313e,35,Male,Married,2,102000,Good,Current smoker,Whole of Life,400000,320.4,Direct,2024-04-04,0,Active
POL-648AEFD2,07-6a19-4e1f-9018-b81ae17b4800,54,Female,Single,0,62000,Excellent,Non-smoker,Term Assurance,100000,24.5,Online,2011-07-22,0,Active
POL-3B4A8413,be-5de6-4c5a-af25-ea07265d3b77,33,Male,Married,1,61000,Excellent,Non-smoker,Whole of Life,500000,506.4,IFA,2017-01-21,0,Active
POL-4742DB00,53-7e07-4eb4-8e65-5edbee8127f7,45,Female,Married,2,99000,Excellent,Non-smoker,Whole of Life,420000,120.5,Direct,2018-05-29,0,Active
POL-FA799ADD,96-3cfe-4972-b01e-22184e79b481,38,F,Married,2,67000,Excellent,Non-smoker,Term Assurance,800000,114.6,IFA,2023-07-15,0,Active
POL-026EC94F,7e-60ea-452f-814d-80c80e298d73,49,Female,Married,2,96000,Good,Non-smoker,Whole of Life (Flexible Premium),750000,265.4,Bancassurance,2022-10-09,0,Active
POL-C17C3F74,05-fb5b-49ea-a1b2-7429dbda845a,65,Male,Married,1,142000,Fair,Former smoker,Term Assurance,900000,551.0,Direct,2023-10-27,0,Active
POL-25351B02,79-9e1b-4df2-843e-b18a0c7cb0ec,27,Female,Single,0,42000,Excellent,Non-smoker,Term Assurance,120000,40.9,Direct,2002-01-29,0,Active
POL-3D0C3004,a2-4943-4f7d-acae-22fb4912c279,48,Female,Married,2,125000,Excellent,Non-smoker,Term Assurance,300000,303.8,Online,2014-11-08,2,Active
POL-A569E002,e9-b085-412e-bb12-42bd8531ef7d,43,Male,Married,1,110000,Excellent,Non-smoker,Whole of Life (Flexible Premium),600000,110.3,IFA,2019-04-21,0,Active
POL-ABEA2B33,34-c439-443f-b300-8cf76b32829d,55,Male,Married,1,58000,Good,Non-smoker,Whole of Life,300000,88.6,IFA,2006-12-10,0,Active
POL-0D4F193E,10-382a-4d9d-9f4f-b17e9372af96,58,Male,Married,3,115000,Good,Non-smoker,Whole of Life,500000,680.3,IFA,2023-09-01,0,Active
